SOURCE,SPECIES,SECTOR,1,2,3,4,5,6,7,8,9,10,11,12
NEI,NH3,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
TBond,BC,biofuel,0.129886613,0.104823477,0.091737504,0.069245484,0.068404055,0.067077619,0.068372436,0.068374169,0.067105856,0.070544691,0.085342957,0.109085139
TBond,BC,biomass,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
TBond,BC,fossil,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
TBond,OC,biofuel,0.125337088,0.1028829,0.090616732,0.070595264,0.069927856,0.068524543,0.069890387,0.069891144,0.06855568,0.071974898,0.084997439,0.10680607
TBond,OC,biomass,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
TBond,OC,fossil,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
SFactor_TBond,BC,biofuel,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
SFactor_TBond,BC,biomass,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
SFactor_TBond,BC,fossil,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
SFactor_TBond,OC,biofuel,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
SFactor_TBond,OC,biomass,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
SFactor_TBond,OC,fossil,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,BC,power,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,BC,industry,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,BC,residential,0.129886613,0.104823477,0.091737504,0.069245484,0.068404055,0.067077619,0.068372436,0.068374169,0.067105856,0.070544691,0.085342957,0.109085139
INTEX-B,BC,transportation,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
NEI,BCPI,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,OC,power,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,OC,industry,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
INTEX-B,OC,residential,0.125337088,0.1028829,0.090616732,0.070595264,0.069927856,0.068524543,0.069890387,0.069891144,0.06855568,0.071974898,0.084997439,0.10680607
INTEX-B,OC,transportation,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
NEI,OCPI,ANTHSRCE,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
